Aigues-Vives,is located in,France
Aiguille Noire de Peuterey,is located in,Italy
Aiken,is located in,United States of America
Ailey,is located in,United States of America
Ain,is located in,France
Aïn Témouchent,is located in,Algeria
Ait Ouabane (michelet ),is located in,Algeria
Aiud,is located in,Romania
Aix-en-Provence,is located in,France
Aix-les-Bains,is located in,France
Ajaccio,is located in,France
Ajitgarh,is located in,India
Ajuda National Palace,is located in,Portugal
Ajuricaba,is located in,Brazil
Akdağmadeni,is located in,Turkey
Aker,is located in,Norway
Åkerö Castle,is located in,Sweden
Akhmim,is located in,Egypt
Akita,is located in,Japan
Akosombo,is located in,Ghana
Akron,is located in,United States of America
Akureyri,is located in,Iceland
Alabama,is located in,United States of America
Alahan Panjang,is located in,Indonesia
Alameda,is located in,United States of America
Alamogordo,is located in,United States of America
Alamosa,is located in,United States of America
Álamos,is located in,Mexico
Alamut Castle,is located in,Iran
Alapayevsk,is located in,Russia
Al-Awja,is located in,Iraq
Alba,is located in,Italy
Alba Iulia,is located in,Romania
Albania,is located in,Albania
Albania,is located in,Europe
Albano Laziale,is located in,Italy
Albany County,is located in,United States of America
Albany,is located in,United States of America
Al Bayda,is located in,Libya
Albemarle County,is located in,United States of America
Albig,is located in,Germany
Albi,is located in,France
Albuquerque,is located in,United States of America
Alcafran,is located in,United States of America
Alcalá de Henares,is located in,Spain
Alcázar de San Juan,is located in,Spain
Alcoa,is located in,United States of America
Alcobendas,is located in,Spain
Alcoi / Alcoy,is located in,Spain
Aldeburgh,is located in,jajaxedlol
Aldeburgh,is located in,United Kingdom
Alderminster,is located in,United Kingdom
Aldershot,is located in,United Kingdom
Alençon,is located in,France
Aleppo,is located in,Syria
Alès,is located in,France
Alessandria,is located in,Italy
Ålesund,is located in,Norway
Alexandria,is located in,Egypt
Alexandria,is located in,United Kingdom
Alexandria,is located in,United States of America
Aley,is located in,Lebanon
Alfriston,is located in,United Kingdom
Algeciras,is located in,Spain
Algeria,is located in,Africa
Algermissen,is located in,Germany
Algerri,is located in,Spain
Algiers,is located in,Algeria
Alicante,is located in,Spain
Alice Springs,is located in,Australia
Alijó Municipality,is located in,Portugal
Alingsås,is located in,Sweden
Alise-Sainte-Reine,is located in,France
Al Karak,is located in,Jordan
Al Khor,is located in,Qatar
Alkmaar,is located in,Netherlands
Allahabad,is located in,India
Allahé,is located in,Benin
Allegan County,is located in,United States of America
Allegany County,is located in,United States of America
Al Majmaah,is located in,Saudi Arabia
Almaty,is located in,Kazakhstan
Almelo,is located in,Netherlands
Almería,is located in,Spain
Almondell and Calderwood Country Park,is located in,United Kingdom
Aloja,is located in,Latvia
Alor Setar,is located in,Malaysia
Alpena,is located in,United States of America
Alpha,is located in,United States of America
Alphen aan den Rijn,is located in,Netherlands
Al-Qurayya,is located in,Syria
Al-Rastan,is located in,Syria
Alsenz,is located in,Germany
Al Sharqia Governorate,is located in,Egypt
Alstahaug,is located in,Norway
Al-Suwayda,is located in,Syria
Altadena,is located in,United States of America
Altai Krai,is located in,Russia
Al-Tall, Syria,is located in,Syria
Altdorf,is located in,Switzerland
Altenburg,is located in,Germany
Altenmarkt im Pongau,is located in,Austria
Altenstadt,is located in,Germany
Altentreptow,is located in,Germany
Althorp,is located in,United Kingdom
Altillac,is located in,France
Altinum,is located in,Italy
Altnagelvin Area Hospital,is located in,United Kingdom
Altona,is located in,Germany
Alton,is located in,United States of America
Altoona,is located in,United States of America
Altrincham,is located in,United Kingdom
Altstätten,is located in,Switzerland
Alva,is located in,United States of America
Alvediston,is located in,United Kingdom
Älvkarleby congregation,is located in,Sweden
Alwar,is located in,India
Alzey,is located in,Germany
Alzira,is located in,Spain
Ama,is located in,United States of America
Amaliada,is located in,Greece
Amalienborg,is located in,Denmark
Amambay Department,is located in,Paraguay
Amarante Municipality,is located in,Portugal
Amarapura,is located in,Myanmar
Amarillo,is located in,United States of America
Amarna,is located in,Egypt
Ambala,is located in,India
Ambarikorano,is located in,Madagascar
Amberg,is located in,Germany
Ambleside,is located in,United Kingdom
Amboise,is located in,France
Amélie-les-Bains-Palalda,is located in,France
Americus,is located in,United States of America
Amersfoort,is located in,Netherlands
Amherstburg,is located in,Canada
Amherst County,is located in,United States of America
Amherst,is located in,Canada
Amherst,is located in,United States of America
Amiens,is located in,France
Amiternum,is located in,Italy
Amityville,is located in,United States of America
Ammanford,is located in,United Kingdom
Amman,is located in,Jordan
Ammerstol,is located in,Netherlands
Amorbach,is located in,Germany
Ampthill,is located in,United Kingdom
Amritsar,is located in,India
Amsheet,is located in,Lebanon
Amsterdam,is located in,Netherlands
Amsterdam,is located in,United States of America
Amt Neuhaus,is located in,Germany
Anadia,is located in,Portugal
Anaheim Hills,is located in,United States of America
Anaheim,is located in,United States of America
Anambra State,is located in,Nigeria
Añasco, Puerto Rico,is located in,United States of America
Anchorage,is located in,United States of America
Ancient Egypt,is located in,Egypt
Ancona,is located in,Italy
Andechs,is located in,Germany
Anderson,is located in,United States of America
Anderson Township,is located in,United States of America
Andhra Pradesh,is located in,India
Andover,is located in,United States of America
Andrew Dickson White House,is located in,United States of America
Andrews Field,is located in,United States of America
Andros,is located in,Greece
Anenecuilco,is located in,Mexico
Angelbachtal,is located in,Germany
Angel Falls,is located in,Venezuela
Angermünde,is located in,Germany
Angers,is located in,France
Angkor Borei District,is located in,Cambodia
Angkor,is located in,Cambodia
Anglet,is located in,France
Angola,is located in,Africa
Angola,is located in,United States of America
Angoulême,is located in,France
Angra do Heroísmo,is located in,Portugal
Angus,is located in,United Kingdom
Anholt,is located in,Germany
Ankara,is located in,Turkey
Anklam,is located in,Germany
Anlong Veng District,is located in,Cambodia
Annaba,is located in,Algeria
Annaberg-Buchholz,is located in,Germany
Annapolis,is located in,United States of America
Annapolis Royal,is located in,Canada
Ann Arbor,is located in,United States of America
Annecy,is located in,France
Anniston,is located in,United States of America
Annonay,is located in,France
Anoka,is located in,United States of America
Ansbach,is located in,Germany
Anse-à-Veau,is located in,Haiti
Anshan,is located in,Iran
Anson County,is located in,United States of America
Antalya,is located in,Turkey
Antananarivo,is located in,Madagascar
Antigua and Barbuda,is located in,Antigua and Barbuda
Antigua and Barbuda,is located in,North America
Antigua Guatemala,is located in,Guatemala
Antioch on the Orontes,is located in,Turkey
Antony,is located in,France
Antsiranana Province,is located in,Madagascar
Antsla Rural Municipality,is located in,Estonia
Antwerp,is located in,Belgium
Anyang,is located in,South Korea
Anykščiai,is located in,Lithuania
Anzi, Italy,is located in,Italy
Anzio,is located in,Italy
Apamea,is located in,Syria
Aparri,is located in,Philippines
Apeiranthos,is located in,Greece
Apeldoorn,is located in,Netherlands
Apia,is located in,Samoa
Apley Hall,is located in,United Kingdom
Apostolic Palace,is located in,Vatican City
Appalachia,is located in,United States of America
Appelscha,is located in,Netherlands
Appleby-in-Westmorland,is located in,United Kingdom
Appleton,is located in,United States of America
Apple Valley,is located in,United States of America
Appling County,is located in,United States of America
Apsley House,is located in,United Kingdom
Apt,is located in,France
Aquae Cutiliae,is located in,Roman Empire
Aracaju,is located in,Brazil
Aradan,is located in,Iran
Arad,is located in,Romania
Arak,is located in,Iran
Aranjuez,is located in,Spain
Aranmula,is located in,India
Ararat,is located in,Armenia
Arashan,is located in,Kyrgyzstan
Arbutus,is located in,United States of America
Arcachon,is located in,France
Arcadia,is located in,United States of America
Arcis-sur-Aube,is located in,France
Arcueil,is located in,France
Ardabil,is located in,Iran
Ardakan,is located in,Iran
Årdal,is located in,Norway
Arden, North Carolina,is located in,United States of America
Ardmore,is located in,United States of America
Ardooie,is located in,Belgium
Ardwick,is located in,United Kingdom
Arecibo,is located in,United States of America
Arenberg Château,is located in,Belgium
Arendal,is located in,Norway
Arendonk,is located in,Belgium
Arenys de Mar,is located in,Spain
Arequipa,is located in,Peru
Arezzo,is located in,Italy
Argenteuil,is located in,France
Argentina,is located in,Argentina
Argentina,is located in,South America
Argenton-les-Vallées,is located in,France
Arguineguín,is located in,Spain
Arizona,is located in,United States of America
Arkabutla,is located in,United States of America
Arkansas,is located in,United States of America
Arkhangelsk Oblast,is located in,Russia
Arkhangelskoye,is located in,Russia
Arlesheim,is located in,Switzerland
Arles,is located in,France
Arlington County,is located in,United States of America
Arlington Heights,is located in,United States of America
Armada,is located in,United States of America
Armagh,is located in,United Kingdom
Armenia,is located in,Asia
Armidale,is located in,Australia
Armthorpe,is located in,United Kingdom
Arnhem,is located in,Netherlands
Arpajon,is located in,France
Arpajon-sur-Cère,is located in,France
Arpino,is located in,Italy
Arras,is located in,France
Artesia,is located in,United States of America
Artins,is located in,France
Aruba,is located in,Kingdom of the Netherlands
Asahi,is located in,Japan
Asakusa,is located in,Japan
Asbury Park,is located in,United States of America
Aschaffenburg,is located in,Germany
Ascona,is located in,Switzerland
Ashburton,is located in,United Kingdom
Ashby-de-la-Zouch,is located in,United Kingdom
Ashcroft,is located in,Australia
Ashe County,is located in,United States of America
Asheville,is located in,United States of America
Ashfield,is located in,United States of America
Ashford,is located in,United Kingdom
Ashford,is located in,United States of America
Ashgabat,is located in,Turkmenistan
Ashington,is located in,United Kingdom
Ashiya,is located in,Japan
Ashkelon,is located in,Israel
Ashland,is located in,United States of America
Ashtabula County,is located in,United States of America
Ashton-under-Lyne,is located in,United Kingdom
Ashurst, West Sussex,is located in,United Kingdom
Aš,is located in,Czech Republic
Asker,is located in,Norway
Askøy,is located in,Norway
Asnæs,is located in,Denmark
Asnières-sur-Seine,is located in,France
Aspen,is located in,United States of America
Assam,is located in,India
Assen,is located in,Netherlands
Assos Castle,is located in,Greece
Astaffort,is located in,France
Astana,is located in,Kazakhstan
Asteasu,is located in,Spain
Aston,is located in,United Kingdom
Astoria,is located in,United States of America
Astrakhan,is located in,Russia
Asturias,is located in,Philippines
Asunción,is located in,Paraguay
Asyut Governorate,is located in,Egypt
Asyut,is located in,Egypt
Atalanti,is located in,Greece
Atchison,is located in,United States of America
Athens,is located in,Greece
Athens,is located in,United States of America
Ath,is located in,Belgium
Athlone, Cape Town,is located in,South Africa
Athol,is located in,United States of America
Atkinson,is located in,United States of America
Atlacomulco de Fabela,is located in,Mexico
Atlacomulco Municipality,is located in,Mexico
Atlanta,is located in,United States of America
Atlanta, Missouri,is located in,United States of America
Atlantic City,is located in,United States of America
Atlantic Highlands,is located in,United States of America
Atlantic,is located in,United States of America
Atsugi,is located in,Japan
Attard,is located in,Malta
Attica,is located in,Greece
Attleboro,is located in,United States of America
Aubonne,is located in,Switzerland
Auburn,is located in,United States of America
Auburn, Maine,is located in,United States of America
Auch,is located in,France
Auchterarder,is located in,United Kingdom
Auckland,is located in,New Zealand
Audaux,is located in,France
Audincourt,is located in,France
Augerville-la-Rivière,is located in,France
Augsburg-Haunstetten,is located in,Germany
Augsburg,is located in,Germany
Augusta Bilbilis,is located in,Spain
Augusta,is located in,United States of America
Aulestad,is located in,Norway
Aumühle,is located in,Germany
Auray,is located in,France
Aurel Vlaicu,is located in,Romania
Aurillac,is located in,France
Aurora,is located in,Canada
Aurora,is located in,United States of America
Auschwitz-Birkenau concentration camp,is located in,Poland
Auschwitz concentration camp,is located in,Poland
Aușeu,is located in,Romania
Austin,is located in,United States of America
Austintown,is located in,United States of America
Australia,is located in,Australia
Australia,is located in,Oceania
Austria-Hungary,is located in,Austria-Hungary
Austria-Hungary,is located in,Europe
Austria,is located in,Austria
Austria,is located in,Europe
Austur-Húnavatnssýsla,is located in,Iceland
Autheuil-Authouillet,is located in,France
Autun,is located in,France
Auxonne,is located in,France
Avaldsnes,is located in,Norway
Avegno,is located in,Switzerland
Avellaneda,is located in,Argentina
Avellaneda Partido,is located in,Argentina
Avellino,is located in,Italy
Aventura,is located in,United States of America
Avéron-Bergelle,is located in,France
Aversa,is located in,Italy
Aveyron,is located in,France
Avià,is located in,Spain
Avignon,is located in,France
Avila Beach,is located in,United States of America
Ávila,is located in,Spain
Avilés,is located in,Spain
Avondale,is located in,United States of America
Avon,is located in,United States of America
Awa,is located in,Japan
Axberg,is located in,Sweden
Ayaş,is located in,Turkey
Aydın,is located in,Turkey
Ayeyarwady Region,is located in,Myanmar
Aylesbury,is located in,United Kingdom
Ayodhya,is located in,India
Ayrshire,is located in,United Kingdom
Azabu,is located in,Japan
Azamgarh,is located in,India
Azerat,is located in,France
Azerbaijan,is located in,Asia
Azerbaijan,is located in,Europe
Baarn,is located in,Netherlands
Bab El Oued,is located in,Algeria
Babolsar,is located in,Iran
Babruysk,is located in,Belarus
Babushkin,is located in,Russia
Babylon,is located in,Iraq
Babylon,is located in,United States of America
Baccarat,is located in,France
Bačka Topola,is located in,Serbia
Badajoz,is located in,Spain
Bad Arolsen,is located in,Germany
Badaroux,is located in,France
Bad Berka,is located in,Germany
Bad Berleburg,is located in,Germany
Bad Bevensen,is located in,Germany
Bad Bramstedt,is located in,Germany
Bad Camberg,is located in,Germany
Bad Dürrheim,is located in,Germany
Baden-Baden,is located in,Germany
Baden bei Wien,is located in,Austria
Baden,is located in,Switzerland
Badenweiler,is located in,Germany
Bad Goisern,is located in,Austria
Bad Harzburg,is located in,Germany
Bad Homburg vor der Höhe,is located in,Germany
Bad Honnef,is located in,Germany
Bad Iburg,is located in,Germany
Bad Ischl,is located in,Austria
Bad Kissingen,is located in,Germany
Bad Kreuznach,is located in,Germany
Bad Langensalza,is located in,Germany
Bad Lauterberg im Harz,is located in,Germany
Bad Mergentheim,is located in,Germany
Badminton, Gloucestershire,is located in,United Kingdom
Bad Nauheim,is located in,Germany
Bad Neuenahr-Ahrweiler,is located in,Germany
Bad Oeynhausen,is located in,Germany
Bad Oldesloe,is located in,Germany
Bad Ragaz,is located in,Switzerland
Bad Reichenhall,is located in,Germany
Bad Saarow,is located in,Germany
Bad Salzuflen,is located in,Germany
Bad Sassendorf,is located in,Germany
Bad Schwalbach,is located in,Germany
Bad Segeberg,is located in,Germany
Bad Soden,is located in,Germany
Bad Tölz,is located in,Germany
Bad Wildungen,is located in,Germany
Bærum,is located in,Norway
Bafatá,is located in,Guinea-Bissau
Bafoussam,is located in,Cameroon
Bafra,is located in,Turkey
Bagan,is located in,Myanmar
Bagbazar,is located in,India
Bagdad,is located in,United States of America
Bagé,is located in,Brazil
Bages,is located in,Spain
Baghdad,is located in,Iraq
Baghdati,is located in,Georgia
Bagheria,is located in,Italy
Baglan, Neath Port Talbot,is located in,United Kingdom
Bagnères-de-Luchon,is located in,France
Bagni di Lucca,is located in,Italy
Baguer-Pican,is located in,France
Bahamas,is located in,North America
Bahía Blanca,is located in,Argentina
Bahrain,is located in,Asia
Bahrain,is located in,Bahrain
Bahr el Ghazal,is located in,South Sudan
Baiae,is located in,Italy
Baiima,is located in,Sierra Leone
Bailieborough,is located in,Ireland
Bains,is located in,France
Baja,is located in,Hungary
Bajina Bašta,is located in,Serbia
Bakersfield,is located in,United States of America
Bakerville,is located in,United States of America
Bakhchysarai,is located in,Russia
Baku Governorate,is located in,Russian Empire
Baku,is located in,Azerbaijan
Balachaur,is located in,India
Balaguer,is located in,Spain
Balashikha,is located in,Russia
Balazé,is located in,France
Bălcești,is located in,Romania
Baldwin County,is located in,United States of America
Baler,is located in,Philippines
Bal Harbour,is located in,United States of America
Balkh,is located in,Afghanistan
Ballinalee,is located in,Ireland
Ballylongford,is located in,Ireland
Ballymena,is located in,Northern Ireland
Ballymena,is located in,United Kingdom
Ballymoney,is located in,United Kingdom
Balmain,is located in,Australia
Baltimore County,is located in,United States of America
Baltimore,is located in,United States of America
Bamako,is located in,Mali
Bamberg,is located in,Germany
Bamberg,is located in,United States of America
Bamenda,is located in,Cameroon
Banamba,is located in,Mali
Banapur,is located in,India
Banbury,is located in,United Kingdom
Bandar-e Anzali,is located in,Iran
Bandar-e Gaz County,is located in,Iran
Bandar Seri Begawan,is located in,Brunei
Bandol,is located in,France
Bandon,is located in,Ireland
Bandung,is located in,Indonesia
Baneh,is located in,Iran
Banes,is located in,Cuba
Bangalore,is located in,India
Bangalore Palace,is located in,India
Bangkok,is located in,Thailand
Bangladesh,is located in,Asia
Bangor,is located in,United Kingdom
Bangor,is located in,United States of America
Bangsund,is located in,Norway
Bangui,is located in,Central African Republic
Baní,is located in,Dominican Republic
Banitsa,is located in,Greece
Banja Luka,is located in,Bosnia and Herzegovina
Bankstown,is located in,Australia
Bankya,is located in,Bulgaria
Banská Bystrica,is located in,Slovakia
Bantry,is located in,Ireland
Banyoles,is located in,Spain
Baraboo,is located in,United States of America
Barahona,is located in,Dominican Republic
Barakaldo,is located in,Spain
Baraut,is located in,India
Barbados,is located in,North America
Barbastro,is located in,Spain
Barbate,is located in,Spain
Barberino di Mugello,is located in,Italy
Barberton,is located in,United States of America
Barbour County,is located in,United States of America
Barboursville,is located in,United States of America
Barbourville,is located in,United States of America
Barcaldine,is located in,Australia
Barcelona,is located in,Spain
Barcelonnette,is located in,France
Barcelos Municipality,is located in,Portugal
Bárcena de Pie de Concha,is located in,Spain
Barcin,is located in,Poland
Bardiškiai,is located in,Lithuania
Barendrecht,is located in,Netherlands
Barengo,is located in,Italy
Bar Harbor,is located in,United States of America
Bari,is located in,Italy
Barinas,is located in,Venezuela
Bar,is located in,Montenegro
Barking,is located in,United Kingdom
Bârlad,is located in,Romania
Bar-le-Duc,is located in,France
Barmbek-Nord,is located in,Germany
Barmen,is located in,Germany
Barnesville,is located in,United States of America
Barnet,is located in,United Kingdom
Barnet,is located in,United States of America
Barneveld,is located in,Netherlands
Barnstable,is located in,United States of America
Barnwell,is located in,United States of America
Barracas,is located in,Argentina
Barranquilla,is located in,Colombia
Barranquitas, Puerto Rico,is located in,United States of America
Barre (city), Vermont,is located in,United States of America
Barre,is located in,United States of America
Barrhead,is located in,United Kingdom
Barrie,is located in,Canada
Barrington,is located in,United States of America
Barrow-in-Furness,is located in,United Kingdom
Barry,is located in,United Kingdom
Barth,is located in,Germany
Bartow,is located in,United States of America
Barvikha,is located in,Russia
Barzan,is located in,Iraq
Bascapè,is located in,Italy
Bascom,is located in,United States of America
Basel,is located in,Switzerland
Basildon,is located in,United Kingdom
Basilica of Superga,is located in,Italy
Basingstoke,is located in,United Kingdom
Basking Ridge,is located in,United States of America
Bassano del Grappa,is located in,Italy
Bassar,is located in,Togo
Basse-Goulaine,is located in,France
Båstad,is located in,Sweden
Bastia,is located in,France
Basyoun,is located in,Egypt
Batac,is located in,Philippines
Bățanii Mici,is located in,Romania
Bath,is located in,United Kingdom
Bath,is located in,United States of America
Bathurst,is located in,Australia
Batman Province,is located in,Turkey
Baton Rouge,is located in,United States of America
Battersea,is located in,United Kingdom
Battery Point,is located in,Australia
Batticaloa,is located in,Sri Lanka
Battle Creek,is located in,United States of America
Battle,is located in,United Kingdom
Battle of Bosworth Field,is located in,Kingdom of England
Battle of Gainess Mill,is located in,United States of America
Battle of Waterloo,is located in,Belgium
Batumi,is located in,Georgia
Bautzen,is located in,Germany
Bavaria,is located in,Germany
Bayaguana,is located in,Dominican Republic
Bayamo,is located in,Cuba
Bayamón,is located in,United States of America
Bayanaul, Pavlodar Province,is located in,Kazakhstan
Bay City,is located in,United States of America
Bayonne,is located in,France
Bayonne,is located in,United States of America
Bayreuth,is located in,Germany
Bay Shore,is located in,United States of America
Bay Village,is located in,United States of America
Bazaar,is located in,United States of America
Bazoches-sur-Guyonne,is located in,France
Beaconsfield,is located in,United Kingdom
Bearsden,is located in,United Kingdom
Beaufort,is located in,United States of America
Beaufort West,is located in,South Africa
Beaujon Hospital,is located in,France
Beaulard,is located in,Italy
Beaumont-en-Auge,is located in,France
Beaumont-sur-Dême,is located in,France
Beauvais,is located in,France
Beauvallon,is located in,France
Beaver,is located in,United States of America
Beckley,is located in,United States of America
Beckov,is located in,Slovakia
Beckton,is located in,United Kingdom
Beckum,is located in,Germany
Beclean,is located in,Romania
Bedford County,is located in,United States of America
Bedford Hills,is located in,United States of America
Bedford,is located in,United Kingdom
Bedford,is located in,United States of America
Bedfordshire,is located in,United Kingdom
Bedford–Stuyvesant,is located in,United States of America
Bedonia,is located in,Italy
Beech Grove,is located in,United States of America
Beersheba,is located in,Israel
Beers,is located in,Netherlands
Beeskow,is located in,Germany
Bega,is located in,Australia
Beijing,is located in,Peoples Republic of China
Beirut,is located in,Lebanon
Bel Air,is located in,United States of America
Bela Palanka,is located in,Serbia
Belarus,is located in,Europe
Belfast,is located in,United Kingdom
Belfort,is located in,France
Belgium,is located in,Europe
Belgorod Oblast,is located in,Russia
Belgrade,is located in,Serbia
Belgrade,is located in,United States of America
Belgrano,is located in,Argentina
Belgravia,is located in,United Kingdom
Belize,is located in,Belize
Belize,is located in,North America
Bellefontaine,is located in,United States of America
Bellefonte,is located in,United States of America
Belle Grove,is located in,United States of America
Belle Plaine,is located in,United States of America
Belleville,is located in,Canada
Belleville,is located in,United States of America
Bellevue,is located in,United States of America
Belley,is located in,France
Bellinzona,is located in,Switzerland
Bellshill,is located in,United Kingdom
Bells,is located in,United States of America
Belluno,is located in,Italy
Belmont County,is located in,United States of America
Belmont,is located in,United States of America
Belœil,is located in,Belgium
Beloeil,is located in,Canada
Belo Horizonte,is located in,Brazil
Belovodskoye,is located in,Kyrgyzstan
Belvedere,is located in,United States of America
Belvedere Marittimo,is located in,Italy
Bemidji,is located in,United States of America
Benalmádena,is located in,Spain
Bendigo,is located in,Australia
Benghazi,is located in,Libya
Benin,is located in,Africa
Benkelman,is located in,United States of America
Benkovac,is located in,Croatia
Bennigsen,is located in,Germany
Benninghausen,is located in,Germany
Benoni,is located in,South Africa
Bensonhurst,is located in,United States of America
Bentivoglio,is located in,Italy
Bento Gonçalves,is located in,Brazil
Benton County,is located in,United States of America
Benton Harbor,is located in,United States of America
Bequia,is located in,Saint Vincent and the Grenadines
Berane,is located in,Montenegro
Berchtesgaden,is located in,Germany
Berdiansk,is located in,Ukraine
Berehomet,is located in,Ukraine
Berent,is located in,Prussia
Bereslavka,is located in,Ukraine
Bergambacht,is located in,Netherlands
Bergamo,is located in,Italy
Bergen auf Rügen,is located in,Germany
Bergen-Belsen concentration camp,is located in,Germany
Bergen,is located in,Norway
Bergen op Zoom,is located in,Netherlands
Bergerac,is located in,France
Bergisch Gladbach,is located in,Germany
Berkeley County,is located in,United States of America
Berkeley,is located in,United States of America
Berkhamsted,is located in,United Kingdom
Berkshire County,is located in,United States of America
Berkshire,is located in,United Kingdom
Berkswell,is located in,United Kingdom
Berlin,is located in,Germany
Berlin,is located in,United States of America
Berlin-Plötzensee,is located in,Germany
Berlin-Schöneberg,is located in,Germany
Bermondsey,is located in,United Kingdom
Bernal,is located in,Argentina
Bernardo de Irigoyen, Misiones,is located in,Argentina
Bernay,is located in,France
Bernburg,is located in,Germany
Bern,is located in,Switzerland
Berrechid,is located in,Morocco
Berryman, Iron County, Missouri,is located in,United States of America
Bersenbrück,is located in,Germany
Berwick,is located in,United States of America
Berwickshire,is located in,United Kingdom
Berwyn,is located in,United States of America
Besançon,is located in,France
Beslan,is located in,Russia
Bessarabia Governorate,is located in,Russian Empire
Bethanie, Namibia,is located in,Namibia
Bethel,is located in,United States of America
Bethesda,is located in,United States of America
Bethlehem,is located in,State of Palestine
Bethlehem,is located in,United States of America
Bettlach,is located in,Switzerland
Beverly Hills,is located in,United States of America
Beverly Hilton Hotel,is located in,United States of America
Beverly,is located in,United States of America
Bewdley,is located in,United Kingdom
Bexhill,is located in,United Kingdom
Bexhövede,is located in,Germany
Bexleyheath,is located in,United Kingdom
Béziers,is located in,France
Bhagalpur,is located in,India
Bhagur,is located in,India
Bhavra,is located in,India
Bhopal,is located in,India
Bhubaneswar,is located in,India
Biała Podlaska,is located in,Poland
Białogard,is located in,Poland
Białystok,is located in,Poland
Biarritz,is located in,France
Biddenden,is located in,United Kingdom
Bideford,is located in,United Kingdom
Biebrich Palace,is located in,Germany
Biederthal,is located in,France
Biel/Bienne,is located in,Switzerland
Bielefeld,is located in,Germany
Biella,is located in,Italy
Bielsko-Biała,is located in,Poland
Biesdorf,is located in,Germany
Biezelinge,is located in,Netherlands
Big Pine,is located in,United States of America
Big Sur,is located in,United States of America
Bihar,is located in,India
Bijeljina,is located in,Bosnia and Herzegovina
Bijelo Polje,is located in,Montenegro
Bikfaya,is located in,Lebanon
Bilibino,is located in,Russia
Biloxi,is located in,United States of America
Bilthoven,is located in,Netherlands
Biñan,is located in,Philippines
Bingen am Rhein,is located in,Germany
Bingerville,is located in,Ivory Coast
Bingham,is located in,United States of America
Binghamton,is located in,United States of America
Bingley,is located in,United Kingdom
Binnaguri,is located in,India
Binyamina-Givat Ada,is located in,Israel
Birán,is located in,Cuba
Biratnagar,is located in,Nepal
Birbhum district,is located in,India
Birch Tree,is located in,United States of America
Birdsboro, Pennsylvania,is located in,United States of America
Birgu,is located in,Malta
Biri,is located in,Norway
Birjand,is located in,Iran
Birkenhead,is located in,United Kingdom
Birkirkara,is located in,Malta
Birmingham,is located in,United Kingdom
Birmingham,is located in,United States of America
Bir Mourad Raïs,is located in,Algeria
Birr Castle,is located in,Ireland
Birtamod,is located in,Nepal
Bisacquino,is located in,Italy
